n,k,algorithm,avg_comparisons,avg_swaps
1000,1,randomized,1915.74,936.74
1000,1,deterministic,7256.54,4233.24
1100,1,randomized,2110.66,1032.38
1100,1,deterministic,7954.52,4631.7
1200,1,randomized,2480.96,1302.76
1200,1,deterministic,8791.96,5121.84
1300,1,randomized,2671.1,1393.3
1300,1,deterministic,9584.48,5567.42
1400,1,randomized,2718.96,1341.1
1400,1,deterministic,10378.6,6037.68
1500,1,randomized,3068.76,1590.98
1500,1,deterministic,11091.66,6446.32
1600,1,randomized,2885.26,1306.14
1600,1,deterministic,11830.66,6867.78
1700,1,randomized,3468.48,1792.22
1700,1,deterministic,12575.56,7298.8
1800,1,randomized,3807.64,2030.26
1800,1,deterministic,13399.9,7777.16
1900,1,randomized,3633.1,1756.78
1900,1,deterministic,14145.96,8221.84
2000,1,randomized,4081.06,2105.32
2000,1,deterministic,15037.34,8715.96
2100,1,randomized,4115.66,2040.22
2100,1,deterministic,15778.22,9147.62
2200,1,randomized,4127.0,1950.32
2200,1,deterministic,16535.62,9593.5
2300,1,randomized,4351.28,2075.08
2300,1,deterministic,17371.42,10062.14
2400,1,randomized,4601.26,2224.08
2400,1,deterministic,18158.12,10538.22
2500,1,randomized,4963.42,2488.94
2500,1,deterministic,18922.96,10953.6
2600,1,randomized,4736.16,2160.0
2600,1,deterministic,19685.82,11402.64
2700,1,randomized,5126.18,2449.9
2700,1,deterministic,20299.64,11758.46
2800,1,randomized,5431.66,2655.6
2800,1,deterministic,21145.84,12256.24
2900,1,randomized,6004.2,3129.22
2900,1,deterministic,22004.28,12740.06
3000,1,randomized,5879.08,2903.0
3000,1,deterministic,22735.0,13140.56
3100,1,randomized,5787.1,2710.08
3100,1,deterministic,23484.74,13571.62
3200,1,randomized,6244.5,3069.08
3200,1,deterministic,24502.88,14188.06
3300,1,randomized,6447.18,3170.86
3300,1,deterministic,25161.42,14550.44
3400,1,randomized,6710.58,3335.46
3400,1,deterministic,25861.24,14980.68
3500,1,randomized,7283.16,3809.66
3500,1,deterministic,26521.54,15353.96
3600,1,randomized,7223.02,3647.4
3600,1,deterministic,27479.54,15899.56
3700,1,randomized,7492.44,3819.62
3700,1,deterministic,28354.16,16396.74
3800,1,randomized,7572.16,3799.22
3800,1,deterministic,28886.5,16696.5
3900,1,randomized,7721.26,3849.5
3900,1,deterministic,29901.72,17289.3
4000,1,randomized,8135.16,4160.38
4000,1,deterministic,30783.46,17783.12
4100,1,randomized,8067.28,3991.64
4100,1,deterministic,31435.88,18148.52
4200,1,randomized,8171.26,3995.66
4200,1,deterministic,32256.3,18639.94
