n,group_size,k,avg_comparisons,avg_swaps,avg_time_sec
1000,3,15,7551.466666666666,4315.733333333334,0.0028341929117838543
1000,3,20,7527.066666666667,4285.666666666667,0.002886033058166504
1000,3,30,7607.3,4333.533333333334,0.0024358113606770832
2000,3,15,15601.8,8879.9,0.005475982030232748
2000,3,20,15677.566666666668,8907.266666666666,0.005199344952901205
2000,3,30,15698.1,8902.833333333334,0.0044876019159952795
3000,3,15,23773.5,13470.633333333333,0.008682854970296224
3000,3,20,24041.266666666666,13645.033333333333,0.007261212666829427
3000,3,30,23932.133333333335,13586.166666666666,0.0076449950536092125
4000,3,15,32051.333333333332,18146.533333333333,0.010353541374206543
4000,3,20,32173.833333333332,18203.5,0.011429317792256673
4000,3,30,32344.966666666667,18300.9,0.011292783419291179
5000,3,15,40498.8,22913.033333333333,0.01433720588684082
5000,3,20,40549.9,22956.1,0.013007283210754395
5000,3,30,40241.666666666664,22782.133333333335,0.013357973098754883
6000,3,15,49134.9,27769.366666666665,0.016878199577331544
6000,3,20,48243.6,27257.633333333335,0.01669020652770996
6000,3,30,49020.03333333333,27696.866666666665,0.01680469512939453
7000,3,15,57302.2,32344.133333333335,0.02038122812906901
7000,3,20,56919.4,32159.233333333334,0.020959115028381346
7000,3,30,57375.86666666667,32420.666666666668,0.02017048199971517
8000,3,15,65167.3,36793.433333333334,0.022520701090494793
8000,3,20,65217.333333333336,36826.76666666667,0.02259526252746582
8000,3,30,66081.83333333333,37354.933333333334,0.02273395856221517
9000,3,15,74037.6,41795.2,0.025401194890340168
9000,3,20,74372.33333333333,41963.76666666667,0.026572632789611816
9000,3,30,73682.83333333333,41615.63333333333,0.02628479798634847
10000,3,15,82290.06666666667,46412.63333333333,0.0273331085840861
10000,3,20,82551.23333333334,46556.5,0.028332901000976563
10000,3,30,81929.63333333333,46231.3,0.026850350697835288
11000,3,15,89669.4,50598.4,0.031139294306437176
11000,3,20,90588.0,51063.3,0.03168262640635173
11000,3,30,91079.86666666667,51347.96666666667,0.03241824309031169
12000,3,15,99296.1,56068.6,0.033194780349731445
