n,avg_rounds,min_rounds,max_rounds
10,6.46,5,9
20,9.72,7,14
30,12.06,8,18
40,13.08,9,20
50,14.94,11,21
60,15.92,11,24
70,17.48,11,24
80,18.86,12,27
90,18.96,14,31
100,19.50,14,28
110,20.98,12,30
120,22.14,14,36
130,21.96,15,31
140,24.72,14,36
150,23.02,14,34
160,24.20,16,34
170,26.12,16,34
180,25.64,18,36
190,26.24,19,41
200,26.38,17,42
210,28.34,16,50
220,28.70,18,40
230,29.14,19,46
240,28.24,20,39
250,29.56,20,45
260,32.54,21,54
270,30.48,22,48
280,31.16,19,45
290,30.70,21,43
300,33.26,22,54
310,31.62,23,48
320,33.72,22,53
330,32.46,19,50
340,33.70,22,53
350,35.36,22,52
360,35.70,23,58
370,35.96,23,51
380,35.56,20,51
390,36.80,27,58
400,36.32,24,55
410,36.12,25,51
420,35.60,26,56
430,36.38,24,54
440,36.90,27,56
450,37.76,25,56
460,37.72,25,55
470,39.90,28,63
480,41.60,28,71
490,41.72,28,57
500,39.18,27,54
